,date,coin_price_bitcoin,coin_price_ethereum,coin_price_dogecoin,gold_price,itb_btc_count,all_time_highers,all_time_lowers,average_balance,seconds,average_transaction_size,new_addresses,active_addresses,zero_balance_addresses,daily_active_address_price,hash_rate,average_size_in_bytes,volume_share_antpool,volume_share_btccom,volume_share_binance,volume_share_huobi_pool,inflows_antpool,inflows_btccom,inflows_binance,inflows_huobi_pool,outflows_antpool,outflows_btccom,outflows_binance,outflows_huobi_pool,reverses_antpool,reverses_btccom,reverses_binance,reverses_huobi_pool,rewards_transaction_fees,rewards_rewards,total_flows_antpool,total_flows_btccom,total_flows_binance,total_flows_huobi_pool,mining_rewards_volume_share,number_of_large_transactions,number_of_transactions,btc_total_fees,道琼斯工业平均指数_close,VIX恐慌指数_close,EEM_close,上证指数_close,美元指数期货_close,WTI原油期货_close,Count,黄金期货_close,XLK_close,Dow_Jones_Commodity_close,cci_close,美国标准普尔500指数_close,Dow_Jones_Commodity_Energy_close
5,2020/9/18,0.009203700937706422,0.012717364558843217,0.0004061856268314616,0.9607631389488844,0.6371735473503182,0.000521620398425935,0.9732142857142776,0.014620213267845517,0.08960868437078146,0.03573943455663617,0.6029662890181426,0.5490275554977435,0.5752378382025505,0.010918769057637112,0.6036441279616267,0.5299922953573402,0.12022900763358779,0.10527325944052586,0.1268477139910622,0.12504925314324603,0.017039600542112596,0.13044742265532916,0.04091338987743652,0.0464160708068392,0.07264211136930777,0.09478478409171535,0.048482875501603274,0.0334076965753213,0.008396901822401312,0.01440252726284769,0.002639517663475168,0.024078902555707226,0.20746095614812796,0.7697841726618704,0.06343972646376522,0.10897204106794213,0.041805481049386514,0.046001596465946884,0.1883182275931521,0.18161210004087852,0.7266760883064601,0.02580046186223862,0.12668186501238532,0.4268147560491867,0.1075697211155382,0.24216615780170425,0.6719135217143943,0.13148788927335653,0.6371735473503182,0.9714100064977256,0.022430668841761925,0.10262812089356155,0.018283033681613936,0.06349853464920008,0.10755319895459126
6,2020/9/19,0.010854573694594,0.012416196808215693,0.0004061856268314616,0.9607631389488844,0.51111949445737,0.000516977492402794,0.9642857142857224,0.016945045843856144,0.15682255211380064,0.024626368850038098,0.508367067430632,0.4677489413792384,0.5276921260373795,0.012890328048565297,0.4907274056465601,0.6604566702331267,0.030534351145038177,0.07792332421668824,0.07975249226538329,0.10756886484937492,0.016687037122065134,0.0530439068049549,0.008960216394652842,0.024763372113999593,0.0,0.06668027114889813,0.02243978050805616,0.019172832250245256,0.033056115205594386,0.0051613500925656725,0.0030172424597497104,0.019452844632207904,0.13291959353474733,0.6546762589928057,0.009998252974303831,0.05842977106283845,0.012690392480872297,0.023517103116961646,0.24269889224572005,0.0709056449515032,0.6238945632855827,0.01148126154481598,0.12668186501238532,0.4268147560491867,0.1075697211155382,0.24216615780170425,0.6719135217143943,0.13148788927335653,0.51111949445737,0.9714100064977256,0.022430668841761925,0.10262812089356155,0.019189731427298462,0.06349853464920008,0.10755319895459126
7,2020/9/20,0.009163176063587464,0.010656811901817692,0.0003916789973017667,0.9607631389488844,0.37919456329553225,0.0005127383173381857,0.9642857142857224,0.014598987406255759,0.17329941456027392,0.020891196036235744,0.374923068921578,0.35940958809606216,0.4582906011740098,0.01086699572130359,0.5488180000650884,0.44840611906531525,0.08396946564885496,0.12873662492202867,0.10381574424200755,0.0940645484830032,0.03930873779339858,0.10830310004573296,0.011295385938591623,0.016341569789713135,0.0,0.059783899307837784,0.022610399514141483,0.009592112837784649,0.07218697885387956,0.019270125972127166,0.003089530288616013,0.017794890402601887,0.0833390165723249,0.60431654676259,0.023552335964980346,0.07972915455322857,0.01395813680325241,0.011358204484892657,0.2930513595166163,0.03522984874948898,0.4909138276839182,0.0014463313181552091,0.12668186501238532,0.4268147560491867,0.1075697211155382,0.24216615780170425,0.6719135217143943,0.13148788927335653,0.37919456329553225,0.9714100064977256,0.022430668841761925,0.10262812089356155,0.014708539123158754,0.06349853464920008,0.10755319895459126
8,2020/9/21,0.004658330674120886,0.0055977685056722015,0.0002901325905939013,0.8113750899928007,0.5405517524699173,0.0005091047387113801,0.9642857142857224,0.00797251371070512,0.1706162007774023,0.033824544574855994,0.5182554198486518,0.5166464195041729,0.5381401389919709,0.005678757447513866,0.5811426349441438,0.6015066251759409,0.16603053435114504,0.12005182092989777,0.06978343073221037,0.11541354730092777,0.019681451733065587,0.13958552127679494,0.013213673336840908,0.03973802864614978,0.09113056226013833,0.08952347295757998,0.019425118830069265,0.023761145102608752,0.020979154869043865,0.03130149201858898,0.0032696819308517186,0.014938807912510028,0.17984041464911685,0.6258992805755395,0.07857047663614497,0.11023467216643995,0.01334893625346681,0.03463022899659021,0.17824773413897288,0.1579025604816232,0.6283484293698208,0.0193443602283775,0.07081479208224684,0.5041650138833796,0.08034528552456832,0.19968262895709454,0.8107339275554679,0.08699950568462689,0.5405517524699173,0.802794022092268,0.036296900489396045,0.0477332457293036,0.004281175460616016,0.033953062621631336,0.06505222765541196
9,2020/9/22,0.0006547707167157413,0.0019627364345539133,0.00017407955435634094,0.7991360691144704,0.5792984750215813,0.0005040581017297062,0.9642857142857224,0.0032335397448250702,0.25093791952245165,0.01742840435411218,0.5872030026958384,0.5434946215329155,0.5367367249173469,0.0021791264510639397,0.446186576032583,0.7102101488929,0.12977099236641224,0.13435055899429008,0.19869370917841178,0.4128667120392593,0.019742704098595448,0.10661058066029576,0.029683886216048925,0.21947870551377296,0.045146998253147566,0.08976763317906226,0.06969021545199595,0.025010290934140207,0.008143409684087582,0.031008716641935993,0.0005725911520472991,0.09049952636260711,0.22369228670804064,0.5107913669064748,0.044911629269952257,0.09540198323811995,0.04664285561895574,0.12258835087954689,0.20644511581067476,0.17912222676427958,0.6832508939851395,0.02689441293354997,0.08621188539862823,0.4676715589051962,0.058432934926959224,0.11403262092238542,0.8740754788545395,0.09416707859614448,0.5792984750215813,0.7946718648473032,0.07259380097879253,0.047174770039422054,0.006629420745787762,0.06049860387837214,0.06433680376675821
10,2020/9/23,0.0,0.0004303852036084549,0.00015957292482664557,0.6817854571634268,0.6972006932818517,0.0004996170611858315,0.9553571428571672,0.0,0.1796355425956026,0.009643172003614031,0.6512941757755952,0.5966347125406202,0.5733536873355374,0.0,0.547106646065598,0.7124630081865231,0.07633587786259544,0.12235497336979989,0.19353729804056372,0.15327578178171009,0.0386215769322127,0.08057580706201162,0.038270256406146244,0.0418504960249527,0.0,0.08683727644498032,0.05208989307355482,0.020391902515241776,0.04661136133292172,0.02219914706764062,1.732054883509318e-05,0.09097026967804525,0.29854054422696585,0.60431654676259,0.023140614694516323,0.08197858952633885,0.04225679066446529,0.032807649272329084,0.2517623363544814,0.1765580289122598,0.8151145942627923,0.04027834351798272,0.028664591507924886,0.5358984529948431,0.013280212483400167,0.12489956612566289,0.9546747582021595,0.10232328225407816,0.6972006932818517,0.663092917478882,0.0,0.04080157687253605,0.0,0.0,0.0756603550761723
11,2020/9/24,0.0001417288838399533,0.0,0.00014506629529695107,0.6400287976961838,0.5918551465168762,0.0004963872135175587,0.9553571428571672,0.0028875181521165194,0.19904615532601705,0.010403514756384534,0.5889344937284917,0.5148671468689681,0.5062968085824169,0.0027766059240265373,0.5205901182852861,0.6722314333085586,0.18320610687022904,0.14500263902883737,0.24132004125128909,0.18687538059247052,0.010313348265250821,0.08359693943058114,0.04587430783327741,0.05010130784466976,0.06514354397840667,0.09488028779788936,0.0587610314170011,0.021164099868676463,0.011817788594661795,0.01141867222902326,0.0006603523385114961,0.09672376696899329,0.2520971151878879,0.5683453237410072,0.05391485271028367,0.08776004837678143,0.04942049512509986,0.03744868086208955,0.2719033232628399,0.17707830094020588,0.6959665389035209,0.032392080287405825,0.03439794822332809,0.5331217770725901,0.0,0.0113490278000965,0.9453821354067848,0.11171527434503226,0.5918551465168762,0.6887589343729692,0.012642740619901893,0.039914586070959324,0.008963742956962062,0.007438289885617788,0.08539217381035091
12,2020/9/25,0.0044736541985853084,0.0031162582186687188,0.0002466127020048165,0.6324694024478044,0.7119658245878773,0.0004913405765358848,0.9464285714285552,0.007111865096433495,0.08522221647903666,0.013490855529616569,0.6866044572349888,0.7515324740484028,0.8152132109844139,0.0057976654397524086,0.7323967107013614,0.7943241558243559,0.06488549618320613,0.1425075572189434,0.15916122378824335,0.15764587885517783,0.03714298414490111,0.11118486564179582,0.03478818598597272,0.03827101681692331,0.0,0.1051649455619637,0.04432792775500843,0.030103434929592054,0.05072165918275724,0.006811678855231939,0.0016420846651183443,0.09080764560651965,0.2338880174589102,0.7985611510791366,0.022254696803558058,0.10592097704475742,0.03663993987717532,0.03927440566923254,0.2890231621349447,0.20353784979003303,0.8262920851088128,0.029709419055475524,0.0736929788026921,0.44863149543831804,0.0026560424966799445,0.003796400449943782,1.0,0.11023232822540785,0.7119658245878773,0.6559454191033138,0.06688417618270792,0.03791064388961907,0.011247806266877491,0.04733736913763531,0.08392367214416652
13,2020/9/26,0.005392456010802071,0.00450366822412894,0.0002901325905939013,0.6324694024478044,0.43753280804658035,0.00048689953599201016,0.9196428571428328,0.009595691390390015,0.14637486117471782,0.01727346289389655,0.46765644097327563,0.5249504660718725,0.6374620470953376,0.007282782644250169,0.6008718075465078,0.7452594667733883,0.24427480916030536,0.07000623770452472,0.14266070814712958,0.08786760755095463,0.038793104693519834,0.04102455322352988,0.0198189424064974,0.012361931984209741,0.07119449531848011,0.04393685505593606,0.034464114399840755,0.009443874550800998,0.030593290670535525,0.003319465481707494,0.0018541345852887345,0.08842422841185055,0.11252813203300827,0.6618705035971222,0.07541284332129528,0.04050353154286151,0.02416012092511817,0.00930894266501962,0.3101711983887211,0.06856442082574599,0.5518225876676445,0.006691699743379784,0.0736929788026921,0.44863149543831804,0.0026560424966799445,0.003796400449943782,1.0,0.11023232822540785,0.43753280804658035,0.6559454191033138,0.06688417618270792,0.03791064388961907,0.012854732758480175,0.04733736913763531,0.08392367214416652
14,2020/9/27,0.005435936928855828,0.005168641512627442,0.00027562596106420634,0.6324694024478044,0.37101587808764835,0.0004818528990103363,0.9196428571428328,0.008865201361338615,0.13558231796418058,0.013418888447622894,0.38091502474796946,0.3348795506755894,0.4189983806760677,0.0067293010248750396,0.6224228227336295,0.3418206914576476,0.2080152671755725,0.14577035650880474,0.10415950498453075,0.10681663502525343,0.037458170587390816,0.10071002179869264,0.009278193747241134,0.014535296902088775,0.04302184145045047,0.061364662735109335,0.01693151980801434,0.009233023574973057,0.03289399925965407,0.013920657279586513,0.0025042437731455924,0.0864381790117924,0.0989565573211485,0.6762589928057554,0.05396881984834568,0.07714961270473399,0.010117395132713284,0.010181776462265826,0.3756294058408863,0.011594633765654616,0.49193807413117485,0.0040042916730294136,0.0736929788026921,0.44863149543831804,0.0026560424966799445,0.003796400449943782,1.0,0.11023232822540785,0.37101587808764835,0.6559454191033138,0.06688417618270792,0.03791064388961907,0.01382119784620231,0.04733736913763531,0.08392367214416652
